Album ID;Album Name;Release Date;Track Name;Disc Number;Track Number;Artist Names;Popularity;Explicit;Duration;Loudness;Tempo;Key;Mode;Time Signature;Danceability;Energy;Speechiness;Acousticness;Instrumentalness;Liveness;Valence
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;🪐;1;1;Coldplay;63;No;00:53;-20.192;89.657;F;Major;4/4;0.326;0.322;0.0337;0.887;0.841;0.116;0.0651
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;Higher Power;1;2;Coldplay;72;No;03:26;-5.931;177.894;A♯/B♭;Major;4/4;0.507;0.832;0.0425;0.00643;1.6e-05;0.229;0.485
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;Humankind;1;3;Coldplay;70;No;04:26;-6.498;135.006;D;Major;4/4;0.575;0.838;0.0454;0.000172;0.000103;0.458;0.215
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;✨;1;4;Coldplay;61;No;00:53;-17.24;166.784;F;Minor;4/4;0.0859;0.289;0.0359;0.805;0.99;0.141;0.038
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;Let Somebody Go;1;5;Coldplay/Selena Gomez;79;No;04:01;-8.93;130.953;C;Major;4/4;0.592;0.342;0.0339;0.193;0.00245;0.11;0.155
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;❤️;1;6;Coldplay/We Are KING/Jacob Collier;65;No;03:08;-15.431;136.68;E;Major;1/4;0.348;0.0491;0.0404;0.97;0.000186;0.0918;0.232
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;People of The Pride;1;7;Coldplay;67;Yes;03:37;-6.785;136.362;E;Minor;4/4;0.432;0.613;0.0349;0.00581;0.0151;0.312;0.0911
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;Biutyful;1;8;Coldplay;67;No;03:12;-7.84;153.937;F;Minor;4/4;0.614;0.68;0.0425;0.0168;0.00056;0.118;0.347
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;🌎;1;9;Coldplay;15;No;00:21;-20.358;189.885;D♯/E♭;Major;3/4;0.115;0.907;0.223;0.969;0.981;0.98;0.0185
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;My Universe;1;10;Coldplay/BTS;82;No;03:46;-6.268;105.006;C♯/D♭;Minor;4/4;0.573;0.711;0.0406;0.0114;0.0;0.328;0.47
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;♾;1;11;Coldplay;63;No;03:46;-8.994;135.01;D;Major;4/4;0.576;0.896;0.0412;0.00941;0.955;0.153;0.412
06mXfvDsRZNfnsGZvX2zpb;Music Of The Spheres;2021-10-15;Coloratura;1;12;Coldplay;62;No;10:17;-10.836;134.055;D;Major;4/4;0.285;0.265;0.0288;0.629;0.179;0.066;0.0699
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Sunrise;1;1;Coldplay;21;No;02:31;-12.302;78.045;A;Major;4/4;0.146;0.216;0.0399;0.939;0.54;0.0773;0.0341
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Church;1;2;Coldplay;15;No;03:50;-6.98;123.973;B;Minor;4/4;0.449;0.736;0.0368;0.00865;0.145;0.147;0.133
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Trouble In Town;1;3;Coldplay;21;Yes;04:38;-11.456;96.018;D;Minor;4/4;0.595;0.315;0.0296;0.427;0.648;0.111;0.336
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;BrokEn;1;4;Coldplay;13;No;02:30;-11.836;130.151;F;Major;4/4;0.55;0.271;0.0495;0.923;0.0;0.147;0.521
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Daddy;1;5;Coldplay;25;No;04:58;-19.54;116.981;C♯/D♭;Major;4/4;0.633;0.18;0.034;0.931;0.801;0.513;0.2
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;WOTW / POTP;1;6;Coldplay;11;No;01:16;-15.483;133.686;A♯/B♭;Major;4/4;0.692;0.294;0.248;0.935;0.929;0.116;0.802
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Arabesque;1;7;Coldplay;22;Yes;05:40;-7.727;172.009;G;Major;4/4;0.401;0.834;0.055;0.000114;0.849;0.373;0.163
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;When I Need A Friend;1;8;Coldplay;19;No;02:35;-18.225;64.501;C♯/D♭;Major;4/4;0.141;0.28;0.0618;0.921;0.368;0.135;0.434
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Guns;2;9;Coldplay;10;Yes;01:55;-8.336;85.25;A♯/B♭;Major;3/4;0.475;0.565;0.0326;0.775;0.188;0.138;0.708
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Orphans;2;10;Coldplay;26;No;03:17;-5.051;107.973;B;Minor;4/4;0.503;0.808;0.0451;0.0258;0.00149;0.557;0.282
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Èkó;2;11;Coldplay;12;No;02:37;-13.871;182.995;G;Major;3/4;0.341;0.365;0.0322;0.722;0.00194;0.184;0.0486
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Cry Cry Cry;2;12;Coldplay;15;No;02:47;-10.458;204.52;G♯/A♭;Major;3/4;0.491;0.262;0.0572;0.89;0.288;0.207;0.338
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Old Friends;2;13;Coldplay;21;No;02:26;-17.499;134.025;F;Major;5/4;0.476;0.18;0.0346;0.943;0.235;0.138;0.236
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;بنی آدم;2;14;Coldplay;11;No;03:14;-20.428;140.438;G;Major;3/4;0.393;0.301;0.0497;0.758;0.764;0.161;0.0384
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Champion Of The World;2;15;Coldplay;12;No;04:17;-7.095;108.9;G;Major;4/4;0.503;0.594;0.0263;0.00276;0.0102;0.109;0.168
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Everyday Life;2;16;Coldplay;25;No;04:18;-8.991;124.103;D;Major;4/4;0.512;0.452;0.0292;0.775;0.0818;0.065;0.235
7z0efuBXAnPfu60aOL3QFV;Everyday Life;2019-11-22;Flags;2;17;Coldplay;12;No;03:36;-7.262;89.876;G;Major;4/4;0.55;0.796;0.0378;0.00107;1.18e-05;0.123;0.51
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;A Head Full of Dreams - Live in Buenos Aires;1;1;Coldplay;53;No;04:59;-6.33;122.756;B;Major;4/4;0.32;0.923;0.136;0.0132;0.00654;0.705;0.255
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;Yellow - Live in Buenos Aires;1;2;Coldplay;55;No;05:50;-5.818;91.033;E;Major;4/4;0.322;0.873;0.0639;0.000343;0.000698;0.362;0.144
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;Every Teardrop Is a Waterfall - Live in Buenos Aires;1;3;Coldplay;53;No;04:04;-5.619;118.005;A;Major;4/4;0.397;0.943;0.0663;0.00406;0.0;0.981;0.325
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;The Scientist - Live in Buenos Aires;1;4;Coldplay;57;No;06:28;-7.314;75.335;F;Major;4/4;0.294;0.652;0.0336;0.105;0.00196;0.378;0.167
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;God Put a Smile upon Your Face - Live in Buenos Aires;1;5;Coldplay;50;Yes;04:34;-4.687;137.917;C♯/D♭;Minor;4/4;0.345;0.967;0.0837;0.000615;0.000117;0.89;0.366
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;Paradise - Live in Buenos Aires;1;6;Coldplay;54;No;06:59;-6.616;138.661;F;Major;4/4;0.189;0.872;0.051;0.00193;0.0187;0.898;0.19
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;Always in My Head - Live in Buenos Aires;1;7;Coldplay;50;No;03:41;-7.872;97.555;F;Major;3/4;0.46;0.771;0.0314;0.00157;0.827;0.975;0.147
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;Magic - Live in Buenos Aires;1;8;Coldplay;51;No;04:45;-6.547;95.544;A;Major;4/4;0.474;0.836;0.0618;0.0162;0.381;0.748;0.479
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;Everglow - Live in Buenos Aires;1;9;Coldplay;51;No;04:55;-8.881;154.04;E;Major;4/4;0.292;0.434;0.033;0.711;0.000205;0.383;0.234
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;Clocks - Live in Buenos Aires;1;10;Coldplay;53;No;04:20;-5.253;130.898;F;Minor;4/4;0.448;0.907;0.0531;0.065;0.0125;0.391;0.23
19CvkGjYpifkdwgVJSbog2;Live in Buenos Aires;2018-12-07;Midnight - Live in Buenos Aires;1;11;Coldplay;49;No;01:45;-9.32;126.99;C♯/D♭;Major;4/4;0.359;0.768;0.0431;0.0428;0.46;0.319;0.119
