Album Name;Release Date;Track Name;Disc Number;Track Number;Artist Names;Popularity;Explicit;Duration;Loudness;Tempo;Key;Mode;Time Signature;Danceability;Energy;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Genre;Track Instrumental;Track Lyrics
Music Of The Spheres;2021-10-15;Higher Power;1;2;Coldplay;72;No;03:26;-5.931;177.894;A♯/B♭;Major;4/4;0.507;0.832;0.0425;0.00643;1.6e-05;0.229;0.485;Alternative;No;"Three, two, one

Sometimes I just can't take it
Sometimes I just can't take it and it isn't alright
I'm not gonna make it
And I think my shoe's untied (Ooh-ooh)
I'm like a broken record
I'm like a broken record and I'm not playin' right
Drocer nekorb a ekil mi
'Til you tell me on your heavenly phone
To hold tight (Hold tight)
Come on (Come on), come on (Come on)
Oh-oh-oh, oh, oh, oh-oh
Come on (Come on), come on (Come on)
Yeah, don't let go, oh, oh, oh-oh
Hold tight (Hold tight), hold tight (Hold tight)
Oh-oh-oh, oh, oh, oh-oh
""It's alright, it's alright"", you said
I've got my hands up shakin' just to let you know

That you've got a higher power
Got me singin' every sеcond, dancin' every hour
Oh yeah, you'vе got a higher power
And you're really someone I wanna know, ooh

This boy is electric
This boy is electric and you're sparklin' like the universe connected
And I'm buzzin' night after night after night (Oh-oh)
This joy is electric
This joy is electric and you're circuiting through
I'm so happy that I'm alive
Happy I'm alive at the same time as you"
Music Of The Spheres;2021-10-15;Humankind;1;3;Coldplay;70;No;04:26;-6.498;135.006;D;Major;4/4;0.575;0.838;0.0454;0.000172;0.000103;0.458;0.215;Alternative;No;"Ten, nine, eight, seven, six, five, four, three, two, one

Today I heard the strangest
I heard the strangest song
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)
A DJ a star away is
Playing it to turn us on
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)
My heart started glowing
I feel it inside, it's flowing

I say, I know, I know, I know
We're only human
I know, I know, I know
How we're designed, yeah
Oh, I know, I know, I know
We're only human
But from another planet
Still they call us humankind

Today I had the strangest
Feeling that I belong
(Oh, oh, oh-oh, oh, oh-oh)
(Oh, oh, oh-oh, oh, oh-oh)

Before I was dying
I feel it inside, now I'm flying

I say, I know, I know, I know
We're only human
I know, I know, I know
How we're designed, yeah
Oh, I know, I know, I know
We'rе only human
But from another planet
Still they call us humankind"
Music Of The Spheres;2021-10-15;Let Somebody Go;1;5;Coldplay/Selena Gomez;79;No;04:01;-8.93;130.953;C;Major;4/4;0.592;0.342;0.0339;0.193;0.00245;0.11;0.155;Alternative;No;"(Let somebody, let somebody go)

We had a kind of love
I thought that it would never end
Oh, my lover, oh, my other, oh, my friend
We talked around in circles and
We talked around and then
I loved you to the moon and back again
You gave everything this golden glow
Now turn off all the stars cause this I know
That it hurts like so
To let somebody go

All the storms we weathered
Everything that we went through
Now, without you, what on earth am I to do?
When I called the mathematicians and
I asked them to explain
They said love is only equal to the pain
And when everything was going wrong
You could turn my sorrow into song

Oh, it hurts like so
To let somebody go
To let somebody go (Body go)
Oh, oh-oh (Oh-oh)
Oh, oh-oh
(Let somebody, let somebody go)

Oh, oh-oh (Oh), when you love somebody (Oh)
When you love somebody (Oh)
Got to let somebody know
Oh, oh-oh (Oh), when you love somebody (Oh)
When you love somebody (Oh)
Got to let somebody know
So when you love somebody
When you love somebody"
Music Of The Spheres;2021-10-15;People of The Pride;1;7;Coldplay;67;Yes;03:37;-6.785;136.362;E;Minor;4/4;0.432;0.613;0.0349;0.00581;0.0151;0.312;0.0911;Alternative;No;"People on the left
People on the right
Got a lion inside
People of the pride
Let's go

There's a man who swears he's God
Unbelievers will be shot
There's a man who walks around
Like he owns the fucking lot
There's a man who takes his time
From his homemade cuckoo clock
And he makes us march around it
Ticktock, ticktock, ticktock
There's a crocodile cross-eyed
There's a turning of the tide
We're no longer gonna fight for
Some old crook and all his crimes
There's a sewing up of rags
Into revolution flags
Got to stand up to be counted
Be an anthem for your times
It's just work

It's just work, it's not easy
And we could all be blown apart
And heaven is the fire escape
You try to cling to in the dark
It's just work, believe me
Still my beating heart
We'll all be free to fall in love
With who we want and say
Yeah, yeah, yeah
People of the pride
Go"
Music Of The Spheres;2021-10-15;Biutyful;1;8;Coldplay;67;No;03:12;-7.84;153.937;F;Minor;4/4;0.614;0.68;0.0425;0.0168;0.00056;0.118;0.347;Alternative;No;"All I know
Is I love you so

I hope that you get everything you want in this beautiful life
Change for your pocket, someone for the night
I hope they name you a rocket, take you for a ride for free
And if they tell you, you're nothing, maybe you'd explain
To me, you're the summer sun after the rain
You were there when I needed something for the pain, you see
When you love me, love me, lovе me
When you love mе, love me, love me
When you love me, love me, love me
When you love me, love me, love me
I'm nowhere else
I'm on top of the world, man
On top of the world

And it's so beautiful
And you're so beautiful

I hope that you get everything you want in this beautiful life
Watermelon moon, so happy you're alive
And I feel like a river, finally arrived at sea

Cause when you love me, love me, love me
When you love me, love me, love me
When you love me, love me, love me
When you love me, love me, love me
I know I'll be
On top of the world, man
On top of the world"
Music Of The Spheres;2021-10-15;My Universe;1;10;Coldplay/BTS;82;No;03:46;-6.268;105.006;C♯/D♭;Minor;4/4;0.573;0.711;0.0406;0.0114;0.0;0.328;0.47;Alternative;No;"You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe, and I

In the night, I lie and look up at you
When the morning comes, I watch you rise
There's a paradise they couldn't capture
That bright infinity inside your eyes
매일 밤 네게 날아가 (가)
꿈이란 것도 잊은 채
나 웃으며 너를 만나 (나)
Never-ending forever, baby

You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

어둠이 내겐 더 편했었지
길어진 그림자 속에서 (Eyes)
And they said that we can't be togethеr
Because, becausе we come from different sides

You (You), you are (You are) my universe
And I (I) just want (Just want) to put you first
And you (You), you are (You are) my universe
And you make my world light up inside

My universe (Do-do, do-do)
My universe (Do-do, do-do)
My universe (Do-do, do-do)
(You make my world)
You make my world light up inside
Make my world light up inside"
Music Of The Spheres;2021-10-15;Coloratura;1;12;Coldplay;62;No;10:17;-10.836;134.055;D;Major;4/4;0.285;0.265;0.0288;0.629;0.179;0.066;0.0699;Alternative;No;"Coloratura
We fell in through the clouds
And everyone before us is there, welcoming us now
It's the end of death and doubt
And loneliness is out
Coloratura
The place we dreamed about
The melodies inside yourself and love come pouring out
And everyone's allowed
We're feathered by the crowd
And up there in the heavеns
Galileo and those pining for the moon
Know it's a slow burn
Through Pioneer and Hеlix
Oumuamua, Heliopause and Neptune
We're a slow-burning tune
But we'll get there, so for now
In this crazy world, I do
I just want you

In the end, it's all about
The love you're sending out

And up there in the heavens
The explorers who've all gathered by balloon
Saw the world turn
Through Voyager, Callisto
Calliope, Betelgeuse, the Neon Moons
We're a slow-burning tune
But we'll touch down soon, so will you
And in this crazy world, I do
I just want you"
Everyday Life;2019-11-22;Sunrise;1;1;Coldplay;21;No;02:31;-12.302;78.045;A;Major;4/4;0.146;0.216;0.0399;0.939;0.54;0.0773;0.0341;Alternative;Yes;
Everyday Life;2019-11-22;Church;1;2;Coldplay;15;No;03:50;-6.98;123.973;B;Minor;4/4;0.449;0.736;0.0368;0.00865;0.145;0.147;0.133;Alternative;No;"What can I tell you?
When I'm with you, I'm walking on air
Watching you sleeping there, yeah
And what can't I get through?
When for everyone, everywhere
You're answering every prayer

And when you're riding a wave
Oh, won't you ride that wave to me?
When you're setting your sail
Oh, can I be your seventh sea?
When you're riding a wave
Oh, when you're riding a wave
'Cause when I'm hurt
Then I'll go to your church
'Cause when I'm hurt
Then I'll go to your church


When you're riding a wave
Oh, won't you ride that wave to me?
When you're riding a wave

أبي يا الله يا قادر، لماذا تركتني؟
أبي يا الله يا قادر
حرية يا الله
محبة يا الله

(Ooh, ooh, ooh)
(Ooh, ooh, ooh)
I worship in your church, baby, always
I worship in your church, all the seven days (Ooh, ooh, ooh)
I praise and praise
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)"
Everyday Life;2019-11-22;Trouble In Town;1;3;Coldplay;21;Yes;04:38;-11.456;96.018;D;Minor;4/4;0.595;0.315;0.0296;0.427;0.648;0.111;0.336;Alternative;No;"Trouble in town
Because they cut my brother down
Because my sister can't wear her crown
There's trouble, there's trouble in town
Blood on the beat (Oh-oh)
Oh my goodness, there's blood on the beat
Law of the jungle or the law of the street
There's blood on, there's blood on the beat

And I get no shelter
And I get no peace
And I never get released
Trouble in town (Oh-oh)
Because they hung my Brother Brown
Because their system just keep you down
There's trouble, there's trouble in town

And I get no shelter
And I get no peace
And I just get more police, eh
And I get no comfort
And I get no name
Everything is gettin' strange

Best friends
What's that?
What's his name?
X (Standby, sir)
Alright, is that X your middle name?
Of course, it's on a vehicle ID, right? (There must be some way)
You gettin' smart? 'Cause you'll be in a fucking car with him
I'm telling you
Fucking smartass (Or it's gonna kick off someday)
I'm asking you what the X is, is that your middle name?
Of course, what is it?
Don't come back with the ""What is it?"" fucking shit (There must be some way)
Talk to these fucking pigs on the street that way, you ain't talking to me that way
I don't talk to nobody in the streets, I don't hang with nobody
Well, then don't come to fucking Philadelphia, stay in Jersey
I have family out here
Everybody thinks they're a fucking lawyer and they don't know jack shit
Are you supposed to grab me like this?
Grab you up? I'll grab you any way I got to
You're not protecting me by stopping me while I'm trying to go to work
Why don't you shut up?"
Everyday Life;2019-11-22;BrokEn;1;4;Coldplay;13;No;02:30;-11.836;130.151;F;Major;4/4;0.55;0.271;0.0495;0.923;0.0;0.147;0.521;Alternative;No;"Hmm-hmm, hmm-hmm
Hmm-hmm, hmm-oh
Hmm-hmm, hmm-hmm
Hmm-hmm

Lord, when I'm broken (When I'm broken)
And I'm in need (I'm in need)
Feel that ocean (Feel that ocean)
Swallowing me (Swallowing me)
Head is hanging (Head is hanging)
So sorrowfully (So sorrowfully)
Oh Lord (Ooh-ooh)
Come shine your light on me (Shine your light on me)
On that morning (On that morning)
Scared and blue (Scared and blue)
When I'm hungry (When I'm hungry)
And thirsty too (Thirsty too)
Send this raindrop (Send this raindrop)
Down to the sea (Down to the sea)
Oh Lord (Ooh-ooh)
Come shine your light on me (Shine your light on me)

Oh, shine your light (Oh, shine your light)
Oh, shine a light (Oh, shine a light)
And I know (Ooh-ooh)
That in the darkness I'm alright (I'm alright)
See there's no sun rising (Ooh-ooh)
But inside I'm free (Ooh-ooh)
'Cause the Lord will shine a light for me
(Shine a light on me)
Oh, the Lord will shine a light on me
(Shine your light on me)
Sing it now

Hmm-hmm, hmm-hmm
Hmm-hmm, hmm-oh
Hmm-hmm, hmm-hmm
Hmm-hmm, hmm-oh
Hmm-hmm, hmm-hmm
Hmm-hmm, hmm-oh
Hmm-hmm, hmm-hmm
Hmm-hmm
Hmm-hmm-hmm-hmm"
Everyday Life;2019-11-22;Daddy;1;5;Coldplay;25;No;04:58;-19.54;116.981;C♯/D♭;Major;4/4;0.633;0.18;0.034;0.931;0.801;0.513;0.2;Alternative;No;"Daddy, are you out there?
Daddy, won't you come and play?
Daddy, do you not care?
Is there nothing that you wanna say?

I know
You're hurting too
But I need you, I do
Daddy, if you're out there
Daddy, all I want to say
You're so far away
Oh, you're so far away
That's okay, it's okay
I'm okay

Daddy, are you out there?
Daddy, why'd you run away?
Daddy, are you okay?
Look, Dad, we got the same hair
And Daddy, it's my birthday
And all I wanna say

Is you're so far away
Oh, and you're so far away
That's okay, it's okay
It's okay

Ooh, ooh, ooh, ooh
(Ooh, ooh, ooh, ooh) You're so far away

Won't you come and won't you stay?
Please stay, oh, please stay
Won't you come and won't you stay?
One day, just one day"
Everyday Life;2019-11-22;WOTW / POTP;1;6;Coldplay;11;No;01:16;-15.483;133.686;A♯/B♭;Major;4/4;0.692;0.294;0.248;0.935;0.929;0.116;0.802;Alternative;No;"In a world gone wrong
I shall be strong
Wonder of the world, power of the people
I will not want
My faith is strong
Wonder of the world, power of the people

Our world tonight
Get it right
Holding on to the steeple
Our world tonight
I'm off in light
Wonder of the world, power of the people
Ooh-ooh-ooh, ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh"
Everyday Life;2019-11-22;Arabesque;1;7;Coldplay;22;Yes;05:40;-7.727;172.009;G;Major;4/4;0.401;0.834;0.055;0.000114;0.849;0.373;0.163;Alternative;No;"I could be you, you could be me
Two raindrops in the same sea
You could be me, I could be you
Two angles of the same view
And we share the same blood


Comme deux gouttes d’eau
On se ressemble
Comme provenant de la même mère
Comme deux ruisseaux (You could be me)
Qui se rassemblent (I could be you)
Pour faire les grandes rivières
And we share the same blood
Yeah, we share the same blood

And we share the same blood
Yeah, we share the same blood

Music is the weapon, music is the weapon of the future
Music is the weapon, music is the weapon of the future
Music is the weapon, music is the weapon of the future

Same fucking blood
Same fucking blood"
