Album Name;Genre;Release Date;Track Number;Track Name;Artist Names;Duration;Explicit;Gain
Music Of The Spheres;Alternative;15/10/2021;1;⦵;Coldplay;00:53;No;-14.6
Music Of The Spheres;Alternative;15/10/2021;2;Higher Power;Coldplay;03:26;No;-8.2
Music Of The Spheres;Alternative;15/10/2021;3;Humankind;Coldplay;04:26;No;-8.6
Music Of The Spheres;Alternative;15/10/2021;4;*✧;Coldplay;00:53;No;-11.6
Music Of The Spheres;Alternative;15/10/2021;5;Let Somebody Go;Coldplay/Selena Gomez;04:01;No;-9.6
Music Of The Spheres;Alternative;15/10/2021;6;♡;Coldplay/We Are KING/Jacob Collier;03:08;No;-10.4
Music Of The Spheres;Alternative;15/10/2021;7;People of The Pride;Coldplay;03:37;Yes;-8.0
Music Of The Spheres;Alternative;15/10/2021;8;Biutyful;Coldplay;03:12;No;-9.4
Music Of The Spheres;Alternative;15/10/2021;9;❍;Coldplay;00:21;No;-20.0
Music Of The Spheres;Alternative;15/10/2021;10;My Universe;Coldplay/BTS;03:46;No;-8.3
Music Of The Spheres;Alternative;15/10/2021;11;∞;Coldplay;03:46;No;-9.9
Music Of The Spheres;Alternative;15/10/2021;12;Coloratura;Coldplay;10:17;No;-10.2
Everyday Life;Alternative;22/11/2019;1;Sunrise;Coldplay;02:31;No;-15.6
Everyday Life;Alternative;22/11/2019;2;Church;Coldplay;03:50;No;-7.8
Everyday Life;Alternative;22/11/2019;3;Trouble In Town;Coldplay;04:38;Yes;-9.0
Everyday Life;Alternative;22/11/2019;4;BrokEn;Coldplay;02:30;No;-13.4
Everyday Life;Alternative;22/11/2019;5;Daddy;Coldplay;04:58;No;-11.8
Everyday Life;Alternative;22/11/2019;6;WOTW / POTP;Coldplay;01:16;No;-15.8
Everyday Life;Alternative;22/11/2019;7;Arabesque;Coldplay;05:40;Yes;-7.5
Everyday Life;Alternative;22/11/2019;8;When I Need A Friend;Coldplay;02:35;No;-11.7
Everyday Life;Alternative;22/11/2019;9;Guns;Coldplay;01:55;Yes;-9.4
